Código,Descripción,Marca,Modelo,costo,IVA,Tarifa 1,,
9788423698431,TOUPIE Y BINOU- NO TENGO SUEÑO,,,0,4%,2.40,,
9788424111199,MI PRIMER LIBRO DE ARTE,,,0,4%,4.76,,
9788424116897,MI PRIMER LIBRO DEL CUERPO HUMANO,,,0,4%,4.76,,
9788424128470,HOY COCINO YO,,,0,4%,5.72,,
9788424179212,MI PRIMER LIBRO DE CIENCIAS ,,,0,4%,4.76,,
9788424182816,NUMEROS,,,0,4%,2.84,,
9788424182823,LETRAS MAYUSCULAS,,,0,4%,2.84,,
9788424182830,LETRAS MINUSCULAS,,,0,4%,2.84,,
9788424182847,COLORES Y FORMAS,,,0,4%,2.84,,
9788424182854,EDUCACION VIAL,,,0,4%,2.84,,
9788424182861,BUENOS MODALES,,,0,4%,2.84,,
9788424187460,MI PRIMER LIBRO DE LAS ESTACIONES,,,0,4%,4.76,,
9788424188092,EL PLACER DE COCINAR,,,0,4%,5.77,,
9788425348150,ESTUCHE EL LIBRO DEL BEBE,,,0,4%,4.92,,
9788427865846,DE VIAJE CON EL TREN,,,0,4%,3.80,,
9788427865907,DE VIAJE CON PATITA,,,0,4%,3.80,,
9788427865914,DE VIATGE AMB L´ANEGUETA,,,0,4%,3.80,,
9788427865938,DE CARRERAS CON EL CAMIÓN,,,0,4%,3.80,,
9788427867239,CASUAL OUTFIT - BARBIE CUADERNO DE DISEÑO,,,0,4%,2.84,,
9788427867246,MAQUILLAJE CON BARBIE,,,0,4%,2.84,,
9788427867253,NIGHT OUTFIT,,,0,4%,2.84,,
9788427867277,BARBIE: DIY CARDS,,,0,4%,2.84,,
9788427867284,CREA TU MODA CON BARBIE,,,0,4%,2.44,,
9788427867383,PUZZLE + CUENTO POCOYO,,,0,21%,6.57,,
9788427868052,CARPETA DINOTRAIN,,,0,4%,2.84,,
9788431550899,LA BARBACOA,,,0,4%,5.72,,
9788431551438,KIT DEL BUSCADOR DE SETAS,,,0,21%,6.73,,
9788431551575,LAS MEJORES IDEAS CREATIVAS,,,0,4%,14.33,,
9788431551841,EL TAROT DE LAS MAFIAS,,,0,4%,5.72,,
9788431552435,APRENDE INGLÉS CON LA GATITA LUCÍA: LA GRANJA,,,0,4%,2.23,,
9788431552442,APRENDE INGLÉS CON LA GATITA LUCÍA: LA PLAYA,,,0,4%,2.23,,
9788431553814,APRENDE INGLÉS Y DISFRUTA LA ESCUELA,,,0,4%,4.33,,
9788431554293,APRENDE INGLÉS CON LA GATITA LUCÍA: LA CIUDAD,,,0,4%,2.23,,
9788444110844,DICCIONARIO ESPAÑOL-INGLES PARA ESTUDIANTES,,,0,4%,5.72,,
9788444120324,LA COCINA ES ASTUCIA: COCINO EL DOBLE Y CONGELO,,,0,4%,4.76,,
9788444120331,LA COCINA ES ASTUCIA: MAS FRUTA Y VERDURA,,,0,4%,4.76,,
9788444120959,365 MENUS,,,0,4%,0.00,,
9788444144344,CAJA LITTLE EINSTEIN: CARTAS CON LOS LUGARES DEL M,,,0,4%,5.72,,
9788448835361,PEQUEÑOS JARDINEROS,,,0,4%,4.92,,
9788448839895,¿A QUE HUELE? MISTERIOS DE MR OLFATO,,,0,4%,3.26,,
9788478719341,ME COMO ESA COMA,,,0,4%,5.72,,
9788479013202,UNA MAMÁ PARA OWEN,,,0,4%,6.73,,
9788479424787,TIC TAC: OCÉANOS ANIMADOS,,,0,4%,9.52,,
9788479424794,TIC TAC: USA TU ORINAL,,,0,4%,2.84,,
9788479425326,BRR GRR DINOSAURIOS (POEMAS),,,0,4%,5.72,,
9788479425388,TIC TAC: ANIMALES (DESCUBRE Y JUEGA),,,0,4%,5.72,,
9788479425395,TIC TAC: OCEANOS (DESCUBRE Y JUEGA),,,0,4%,5.72,,
9788479427115,TIC TAC: ATLAS DE ESPAÑA Y DEL MUNDO,,,0,4%,5.72,,
9788479427214,ABECEDARIO POP-UP DE ANIMALES SALVAJES,,,0,4%,9.57,,
9788479427481,TIC TAC: DE DONDE VIENEN LAS COSAS,,,0,4%,5.72,,
9788479427849,POP UP LOS OPUESTOS,,,0,4%,5.72,,
